"","gfs_full","gfs_reduced"
"GC00000420_r1_1",47,36
"GC00000427",47,36
"GC00000429",47,36
"GC00000413_r1_1",47,36
"GC00000410_r1_1",47,36
"GC00000368_2",47,42
"GC00000453",46,36
"GC00000455",46,35
"GC00000454",46,35
"GC00000458",46,36
"GC00000462",46,36
"GC00000460",46,36
"GC00000461",46,35
"GC00000445_r1_1",46,35
"GC00000434_p2",46,35
"GC00000419_r1_r1_1",46,35
"GC00000440_r1_1",46,35
"GC00000436",46,35
"GC00000441",46,35
"GC00000418_r1_1",46,35
"GC00000423",46,35
"GC00000403",46,35
"GC00000372_r1_1",46,35
"GC00000374",46,35
"GC00000451_r1_1",45,35
"GC00000468",45,34
"GC00000469",45,35
"GC00000466",45,34
"GC00000464",45,34
"GC00000472",45,35
"GC00000452",45,34
"GC00000459",45,34
"GC00000444",45,35
"GC00000337_r1_r1_r1_1",45,34
"GC00000030_r1_1_p2",45,34
"GC00000030_r1_1_p1",44,33
"GC00000010_r1_1_p2_p1",44,33
"GC00000471_r1_1",44,34
"GC00000478",44,32
"GC00000473",44,34
"GC00000474",44,33
"GC00000477",44,33
"GC00000476",44,33
"GC00000467",44,33
"GC00000465",44,33
"GC00000470",44,33
"GC00000456",44,34
"GC00000330_r1_1",44,33
"GC00000341",44,33
"GC00000056_r1_1",44,39
"GC00000457_r1_1",43,32
"GC00000480",43,32
"GC00000485",43,32
"GC00000486",43,33
"GC00000487",43,32
"GC00000488",43,33
"GC00000489",43,33
"GC00000491",43,33
"GC00000479",43,32
"GC00000490",43,33
"GC00000501",42,32
"GC00000497",42,31
"GC00000494",42,32
"GC00000493",42,32
"GC00000492",42,34
"GC00000499",42,33
"GC00000500",42,32
"GC00000481",42,31
"GC00000483",42,31
"GC00000484",42,31
"GC00000026_1",42,31
"GC00000463",42,39
"GC00000404",42,31
"GC00000503",41,32
"GC00000498",41,33
"GC00000496",41,31
"GC00000495",41,30
"GC00000482",41,31
"GC00000044_p2",40,29
"GC00000040_p1",40,29
"GC00000040_p2",40,30
"GC00000507",40,31
"GC00000502",40,29
"GC00000505",40,34
"GC00000426",40,32
"GC00000508",39,30
"GC00000506",39,28
"GC00000475_2",39,28
"GC00000028_p1",38,29
"GC00000510",38,29
"GC00000512",38,27
"GC00000509",38,30
"GC00000516",37,27
"GC00000514",37,26
"GC00000044_p1",37,30
"GC00000515",37,26
"GC00000511",37,26
"GC00000513",37,27
"GC00000036_p1",36,26
"GC00000504",36,27
"GC00000520",35,25
"GC00000008_p2_p1",35,26
"GC00000518_2",35,31
"GC00000519",35,30
"GC00000521",34,28
"GC00000523",33,25
"GC00000527",32,25
"GC00000526",32,24
"GC00000525",32,26
"GC00000522_2",32,25
"GC00000517_r1_1",32,24
"GC00000528_r1_1",30,22
"GC00000529",30,24
"GC00000530",29,23
"GC00000524",29,22
"GC00000029_r1_1_p1",29,27
"GC00000531",28,20
"GC00000534",26,20
"GC00000535",26,20
"GC00000536",26,18
"GC00000537",26,21
"GC00000532",26,20
"GC00000533",26,20
"GC00000538",25,19
"GC00000539",25,19
"GC00000541_r1_1",23,17
"GC00000032_p1",21,19
"GC00000542",20,19
"GC00000540_r1_1",20,17
"GC00000544",19,15
"GC00000543",19,16
"GC00000545",18,17
"GC00000549",17,16
"GC00000548",17,16
"GC00000547",17,10
"GC00000550_r1_1",15,14
"GC00000551",14,10
"GC00000038_r1_1_p1",14,11
"GC00000554",13,12
"GC00000553",13,12
"GC00000552_r1_1",12,11
"GC00000556",12,7
"GC00000557",12,11
"GC00000555",12,11
"GC00000558_r1_1",11,10
"GC00000546_2",11,7
"GC00000560",10,8
"GC00000559",10,7
"GC00000561",8,8
"GC00000562",7,6
"GC00000563",5,4
"GC00000045_r1_1_p1",4,4
"GC00000023_2",4,3
"GC00000330_2",4,0
"GC00000564",4,4
"GC00000567",3,3
"GC00000566",3,2
"GC00000568",3,3
"GC00000239_2",2,1
"GC00000057_r1_1",2,1
"GC00000570",2,2
"GC00000571",2,2
"GC00000574",2,2
"GC00000575",2,2
"GC00000576",2,1
"GC00000407_1",2,1
"GC00000342_r1_1",2,1
"GC00000569",2,2
"GC00000581",2,1
"GC00000580",2,1
"GC00000582",2,1
"GC00000434_p1",2,2
"GC00000572",2,2
"GC00000573",2,2
"GC00000579",2,2
"GC00000324_2",2,1
"GC00000313_3",2,1
"GC00000565",2,1
"GC00000337_r1_r1_1",1,1
"GC00000422_1",1,1
"GC00000051_1",1,1
"GC00000027_r1_1",1,1
"GC00000328_2",1,1
"GC00000409_2",1,1
"GC00000330_5",1,1
"GC00000330_6",1,1
"GC00000330_1",1,1
"GC00000330_3",1,1
"GC00000409_1",1,1
"GC00000030_1",1,1
"GC00000328_4",1,1
"GC00000332_1",1,1
"GC00000055_1",1,1
"GC00000420_1",1,1
"GC00000057_1",1,1
"GC00000372_1",1,1
"GC00000134_1",1,1
"GC00000014_1",1,1
"GC00000171_1",1,1
"GC00000336_1",1,1
"GC00000348_r1_1",1,1
"GC00000132_1",1,1
"GC00000132_2",1,1
"GC00000359_1",1,1
"GC00000440_1",1,1
"GC00000055_r1_1",1,1
"GC00000614",1,1
"GC00000406_1",1,1
"GC00000035_1",1,1
"GC00000216_1",1,1
"GC00000337_r1_r1_2",1,1
"GC00000013_1",1,1
"GC00000396_r1_1",1,1
"GC00000313_r1_1",1,1
"GC00000598",1,1
"GC00000592",1,1
"GC00000593",1,1
"GC00000596",1,1
"GC00000597",1,1
"GC00000594",1,1
"GC00000595",1,1
"GC00000034_1",1,1
"GC00000599",1,1
"GC00000066_1",1,1
"GC00000052_1",1,1
"GC00000628",1,1
"GC00000624",1,1
"GC00000625",1,1
"GC00000626",1,1
"GC00000627",1,1
"GC00000620",1,1
"GC00000621",1,1
"GC00000622",1,1
"GC00000623",1,0
"GC00000590",1,1
"GC00000119_1",1,1
"GC00000056_1",1,1
"GC00000065_1",1,1
"GC00000038_1",1,1
"GC00000333_2",1,1
"GC00000023_1",1,1
"GC00000347_1",1,1
"GC00000528_1",1,1
"GC00000382_1",1,1
"GC00000552_1",1,1
"GC00000330_4",1,1
"GC00000360_1",1,1
"GC00000239_1",1,1
"GC00000541_1",1,1
"GC00000288_1",1,1
"GC00000522_1",1,1
"GC00000540_1",1,1
"GC00000475_1",1,1
