HGT,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.000180,356194.358579,[3.54145833e+02 6.45833333e-01 2.08333333e-02 1.66666667e-01 0.00000000e+00 3.54166667e-01 4.18750000e+00 4.35000000e+01 2.58000000e+02 6.92270833e+02],1298.089045,[1111.16666667 17.875 12.45833333 3.5 5.64583333 21.125 70.27083333 210. 376.70833333 304.8125 ],93434.473550
0.000190,355941.641361,[3.56458333e+02 7.91666667e-01 8.33333333e-02 2.29166667e-01 0.00000000e+00 8.33333333e-02 4.29166667e+00 4.35833333e+01 2.59750000e+02 6.91875000e+02],1205.976597,[1.06362500e+03 5.50000000e+00 1.87500000e-01 3.54166667e-01 2.14583333e+00 1.47083333e+01 6.84375000e+01 2.16354167e+02 3.88770833e+02 3.09083333e+02],97034.773291
0.000200,354798.076199,[3.51708333e+02 3.95833333e-01 6.25000000e-02 2.29166667e-01 2.08333333e-02 2.50000000e-01 4.18750000e+00 4.42083333e+01 2.59958333e+02 6.90687500e+02],1106.309311,[1036.72916667 37.79166667 9.77083333 4.39583333 6.27083333 11.9375 58.77083333 197.47916667 378.16666667 334.64583333],106983.232166
0.000210,361383.020423,[3.46416667e+02 7.29166667e-01 1.25000000e-01 3.33333333e-01 0.00000000e+00 2.50000000e-01 4.31250000e+00 4.22708333e+01 2.51958333e+02 6.97979167e+02],977.365826,[9.73208333e+02 4.91666667e+00 1.04166667e-01 1.45833333e-01 1.64583333e+00 1.06875000e+01 5.53958333e+01 1.89708333e+02 3.86145833e+02 3.48750000e+02],114841.260380
0.000220,356633.560428,[3.51270833e+02 6.87500000e-01 6.25000000e-02 1.45833333e-01 4.16666667e-02 1.04166667e-01 4.54166667e+00 4.34166667e+01 2.61812500e+02 6.92395833e+02],656.536410,[8.50687500e+02 3.39583333e+00 8.33333333e-02 1.04166667e-01 6.87500000e-01 7.12500000e+00 4.12708333e+01 1.61229167e+02 3.78541667e+02 4.07666667e+02],145330.724562
0.000230,365248.301090,[3.48354167e+02 8.33333333e-01 6.25000000e-02 3.75000000e-01 0.00000000e+00 2.50000000e-01 3.68750000e+00 3.99791667e+01 2.52000000e+02 7.01854167e+02],926.969493,[9.53750000e+02 4.27083333e+00 4.16666667e-02 2.50000000e-01 1.75000000e+00 1.06250000e+01 5.52500000e+01 1.89145833e+02 3.85416667e+02 3.63104167e+02],122046.084990
0.000240,364893.081826,[3.35520833e+02 8.95833333e-01 6.25000000e-02 3.54166667e-01 2.08333333e-02 2.29166667e-01 3.97916667e+00 3.85416667e+01 2.46687500e+02 7.01895833e+02],802.432705,[8.87166667e+02 3.47916667e+00 1.04166667e-01 8.33333333e-02 9.16666667e-01 8.04166667e+00 4.38750000e+01 1.75125000e+02 3.85145833e+02 3.87291667e+02],134773.847273
0.000250,368702.019078,[3.37854167e+02 7.70833333e-01 2.08333333e-02 4.37500000e-01 2.08333333e-02 1.87500000e-01 4.18750000e+00 3.86875000e+01 2.49708333e+02 7.05458333e+02],690.459963,[8.39041667e+02 3.35416667e+00 8.33333333e-02 1.45833333e-01 1.20833333e+00 7.14583333e+00 4.28958333e+01 1.60333333e+02 3.68645833e+02 4.08979167e+02],144926.055133
0.000260,367684.584771,[3.36854167e+02 6.87500000e-01 2.08333333e-02 2.91666667e-01 4.16666667e-02 1.45833333e-01 3.58333333e+00 3.94583333e+01 2.55833333e+02 7.03958333e+02],766.497925,[8.81729167e+02 3.33333333e+00 1.45833333e-01 8.33333333e-02 1.02083333e+00 7.45833333e+00 4.64791667e+01 1.68375000e+02 3.78520833e+02 3.95354167e+02],138359.127332
0.000270,372255.026528,[3.45187500e+02 8.75000000e-01 8.33333333e-02 4.37500000e-01 2.08333333e-02 3.12500000e-01 3.83333333e+00 4.03125000e+01 2.55395833e+02 7.08541667e+02],623.799334,[8.21812500e+02 3.16666667e+00 8.33333333e-02 2.08333333e-01 8.12500000e-01 6.72916667e+00 3.83750000e+01 1.51354167e+02 3.76562500e+02 4.26208333e+02],155998.085492
0.000280,363023.922918,[3.42187500e+02 7.08333333e-01 8.33333333e-02 3.75000000e-01 0.00000000e+00 2.29166667e-01 4.00000000e+00 4.09375000e+01 2.51895833e+02 6.99625000e+02],801.944380,[8.95750000e+02 4.06250000e+00 1.45833333e-01 2.08333333e-01 1.22916667e+00 8.52083333e+00 4.69375000e+01 1.72208333e+02 3.82979167e+02 3.82291667e+02],131702.731139
0.000290,367751.689215,[3.35020833e+02 8.95833333e-01 1.04166667e-01 2.50000000e-01 2.08333333e-02 3.54166667e-01 3.66666667e+00 4.05000000e+01 2.48145833e+02 7.04625000e+02],758.258434,[8.64895833e+02 3.31250000e+00 8.33333333e-02 8.33333333e-02 7.91666667e-01 6.04166667e+00 4.20416667e+01 1.67229167e+02 3.87875000e+02 3.94395833e+02],138961.176823
0.000300,369433.898831,[3.42062500e+02 7.29166667e-01 6.25000000e-02 4.58333333e-01 0.00000000e+00 2.50000000e-01 3.58333333e+00 4.08125000e+01 2.51291667e+02 7.06062500e+02],680.641400,[8.32208333e+02 3.12500000e+00 8.33333333e-02 1.66666667e-01 8.12500000e-01 6.25000000e+00 3.82083333e+01 1.62687500e+02 3.83583333e+02 4.09520833e+02],147071.206075
0.000310,366846.206615,[3.37166667e+02 8.95833333e-01 4.16666667e-02 2.70833333e-01 2.08333333e-02 1.66666667e-01 3.41666667e+00 3.92916667e+01 2.51625000e+02 7.03458333e+02],448.101430,[7.20416667e+02 2.66666667e+00 6.25000000e-02 1.25000000e-01 5.41666667e-01 3.50000000e+00 2.62708333e+01 1.29583333e+02 3.72479167e+02 4.69020833e+02],182690.468380
0.000320,373546.219096,[3.28354167e+02 1.14583333e+00 4.16666667e-02 6.25000000e-01 2.08333333e-02 3.95833333e-01 3.54166667e+00 3.83125000e+01 2.46020833e+02 7.10520833e+02],488.096667,[7.28145833e+02 2.56250000e+00 8.33333333e-02 8.33333333e-02 3.54166667e-01 3.68750000e+00 2.88125000e+01 1.33416667e+02 3.70375000e+02 4.65250000e+02],179968.692315
0.000330,375200.900524,[3.26854167e+02 9.37500000e-01 1.04166667e-01 4.79166667e-01 4.16666667e-02 1.66666667e-01 3.83333333e+00 3.65833333e+01 2.41104167e+02 7.12520833e+02],436.655153,[6.97229167e+02 2.31250000e+00 8.33333333e-02 4.16666667e-02 5.62500000e-01 3.89583333e+00 2.65625000e+01 1.23666667e+02 3.62229167e+02 4.82916667e+02],190891.314510
