GC,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.004400,146.093802,[ 33.6494 35.388 21.181 22.7006 13.629 18.9932 17.0748 25.6336 20.0574 154.578 ],14.215496,[ 50.1562 34.155 15.8232 17.8436 12.6472 16.3558 14.7278 26.9822 31.9586 148.7622],125.223632
0.004500,130.779203,[ 37.5416 33.534 23.5376 24.5594 9.6462 21.9624 19.5958 23.2648 24.418 149.6276],11.323721,[ 52.0944 26.7676 23.0882 21.9854 16.8426 19.616 18.6746 20.596 30.8626 145.037 ],107.845862
0.004600,108.535574,[ 36.5894 37.7558 27.7614 26.3508 14.4606 23.82 22.452 26.1762 21.0556 141.7352],21.213398,[ 47.3112 31.4638 21.8772 15.7688 14.7034 15.3426 18.5614 23.2716 29.6354 150.3294],126.187902
0.004700,113.424037,[ 43.6894 36.0998 21.5184 17.6902 22.6452 15.0268 17.3976 26.262 27.6076 145.2794],13.698746,[ 48.2438 28.9128 24.966 18.8274 12.696 18.3114 21.5096 20.653 30.19 147.052 ],116.862058
0.004800,135.007925,[ 36.936 29.9938 26.683 24.0576 12.2738 21.2624 20.1618 21.2468 22.1016 151.6212],30.298711,[ 53.4884 23.079 17.252 15.2762 17.123 13.994 14.5616 18.2864 35.539 154.0724],142.697279
0.004900,120.458831,[ 43.8338 31.4676 16.4666 29.508 14.04 25.3076 14.3762 22.1352 28.8812 145.7044],19.453142,[ 49.3018 27.9114 22.486 17.7176 23.3058 16.6254 17.1144 20.4128 30.754 147.4546],115.939049
0.005000,120.303140,[ 34.906 35.7072 23.8922 23.6774 25.0902 18.9242 18.5564 24.5826 20.8882 146.3692],21.024363,[ 46.3318 26.9934 18.7666 15.1752 16.8662 15.3848 15.2902 21.4914 30.0658 154.8286],143.173663
0.005100,112.533690,[ 40.7778 37.0822 27.4616 25.317 7.1574 25.3566 21.3708 26.4908 23.6336 142.6748],39.689112,[ 50.8386 32.357 27.7926 11.8374 14.615 12.1856 26.9228 22.5996 31.0332 144.886 ],114.084947
0.005200,135.078219,[ 39.4426 26.1206 22.1766 27.4466 14.7786 23.097 17.9108 17.593 25.403 151.0598],8.146410,[ 46.5666 34.2146 26.0018 22.7378 14.2668 20.87 21.6404 24.2 27.7158 141.064 ],98.839571
0.005300,109.291920,[ 41.3086 36.8518 24.3706 22.6142 16.761 20.1666 19.6182 26.0072 24.0272 144.375 ],14.124753,[ 49.26 33.7722 22.5012 14.4426 10.2624 14.4718 20.7966 26.223 30.1678 148.36 ],123.447132
0.005400,117.487303,[ 43.8916 34.8204 19.474 28.7142 11.4012 24.653 17.0006 24.3042 24.7838 146.2616],11.896299,[ 52.5968 31.8814 19.4746 18.854 13.3038 17.6486 16.7922 24.3018 32.832 146.0034],112.956891
0.005500,128.321889,[ 39.4802 35.4892 18.867 23.2322 15.8616 20.708 16.067 24.7544 24.0176 150.0016],18.556888,[ 55.7922 28.111 18.1588 14.717 14.9584 14.5814 15.0692 22.2236 35.8628 149.5516],126.281571
0.005600,153.262178,[ 40.939 24.872 23.1442 21.3184 7.7038 19.9584 20.0034 17.7888 26.5554 156.7216],18.520373,[ 60.9586 29.354 17.7922 18.6932 12.0466 16.8858 16.4436 23.1368 38.829 143.226 ],107.772885
0.005700,88.933543,[ 49.0544 37.0592 20.4236 27.728 18.883 23.6634 17.19 26.3712 27.9736 137.548 ],3.818301,[ 47.0508 32.0068 24.8552 23.8508 19.67 20.7562 19.9704 22.7706 27.7122 141.626 ],97.989079
0.005800,119.312170,[ 48.2694 25.6074 19.0014 23.3394 25.4798 19.5206 14.1168 18.6846 30.5184 147.0964],12.372120,[ 49.9782 25.6698 25.0026 13.81 19.9706 15.0884 19.1846 18.386 32.037 150.1022],125.843281
0.005900,114.601607,[ 45.3766 38.179 20.5872 18.6936 15.6244 17.6506 17.3014 26.3604 27.628 146.642 ],3.093317,[ 46.0976 37.4902 25.1956 19.515 12.12 19.003 21.4208 27.8522 28.1108 141.2994],102.381710
0.006000,114.315191,[ 39.3434 32.4534 23.752 24.212 21.4658 21.3814 18.6822 21.7304 24.665 145.5808],22.394391,[ 47.2912 30.9286 19.6932 12.526 23.343 11.9274 16.6214 23.6978 30.1786 150.7016],131.379031
0.006100,108.698168,[ 36.6444 38.3194 25.8004 27.4442 16.7196 24.5666 19.856 26.3294 20.7408 142.1354],57.950843,[ 53.6598 20.1584 18.32 15.5134 10.9098 15.487 15.6568 16.2106 36.3552 156.9482],154.790683
0.006200,108.446594,[ 46.0344 38.9334 19.1146 21.936 18.5416 17.6438 15.716 26.6664 28.0606 144.7774],11.740222,[ 51.7632 28.8822 24.0484 21.5394 12.2214 21.0196 19.6918 20.9182 31.59 144.3018],107.372182
0.006300,99.672455,[ 42.5114 29.717 31.5 30.3744 15.6568 27.1252 23.8116 19.065 24.272 138.7314],39.109593,[ 52.1172 30.153 17.168 17.9774 15.9902 16.0312 14.823 24.2842 31.977 148.9898],122.907400
0.006400,116.750471,[ 48.1982 30.8914 23.7338 16.3612 17.5992 15.574 19.2602 22.6744 30.1296 147.763 ],3.971299,[ 54.1224 27.7494 19.2724 19.3022 20.0846 16.836 15.7356 21.5592 32.8624 146.5754],112.930143
0.006500,123.267604,[ 42.372 27.5646 24.0624 29.098 11.6548 25.0728 18.7058 18.5922 26.7444 147.282 ],7.253672,[ 49.5242 34.833 25.1672 25.2464 16.9046 24.017 19.2772 25.3404 27.0734 138.3756],88.690201
0.006600,105.769250,[ 45.7278 35.9124 24.0026 18.519 20.5436 17.6756 18.5438 25.0726 26.8154 144.1078],12.341964,[ 52.8514 33.7124 14.6362 22.0396 19.564 20.0164 12.1916 25.7748 32.5914 143.1366],107.552814
0.006700,121.871358,[ 42.4208 34.203 21.5836 18.7258 18.2332 16.0278 19.4912 23.424 27.0246 148.8094],9.391775,[ 46.7546 35.2836 15.7054 18.4206 11.636 17.2792 13.8612 26.7366 29.2438 151.7046],134.299248
