HGT,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.000270,24828.788124,[3.18000000e+02 7.70833333e-01 4.16666667e-02 5.83333333e-01 4.16666667e-02 3.75000000e-01 2.08333333e-02 6.12500000e+00 3.43666667e+02 9.62183333e+03],748.816395,[8.66229167e+02 3.93750000e+00 1.25000000e-01 1.87500000e-01 1.66666667e-01 1.66666667e-01 1.08333333e+00 3.93750000e+01 8.90437500e+02 9.07306250e+03],21370.939820
0.000280,25006.851554,[3.09395833e+02 1.02083333e+00 2.08333333e-02 8.75000000e-01 0.00000000e+00 5.62500000e-01 6.25000000e-02 5.41666667e+00 3.33000000e+02 9.66464583e+03],642.232599,[7.90645833e+02 3.52083333e+00 2.70833333e-01 2.70833333e-01 1.25000000e-01 1.45833333e-01 1.00000000e+00 3.21666667e+01 8.22833333e+02 9.14170833e+03],21782.118013
0.000290,24963.851738,[3.08395833e+02 7.08333333e-01 2.08333333e-02 5.83333333e-01 2.08333333e-02 6.25000000e-01 2.08333333e-02 5.37500000e+00 3.38645833e+02 9.65372917e+03],640.600500,[7.97916667e+02 3.85416667e+00 3.12500000e-01 2.70833333e-01 1.45833333e-01 2.50000000e-01 9.58333333e-01 3.41458333e+01 8.21229167e+02 9.15056250e+03],21794.665657
0.000300,24913.000163,[3.11625000e+02 9.37500000e-01 4.16666667e-02 7.50000000e-01 0.00000000e+00 4.58333333e-01 1.04166667e-01 5.16666667e+00 3.33937500e+02 9.63839583e+03],548.062502,[7.44541667e+02 2.97916667e+00 2.08333333e-01 8.33333333e-02 1.04166667e-01 1.66666667e-01 1.08333333e+00 3.08541667e+01 7.71687500e+02 9.22779167e+03],22182.786074
0.000310,25080.476324,[3.01729167e+02 1.02083333e+00 0.00000000e+00 8.12500000e-01 2.08333333e-02 7.70833333e-01 2.08333333e-02 5.43750000e+00 3.23354167e+02 9.67764583e+03],594.784102,[7.51354167e+02 3.62500000e+00 2.08333333e-01 2.08333333e-01 4.16666667e-01 1.66666667e-01 8.33333333e-01 3.00625000e+01 7.88083333e+02 9.20460417e+03],22081.562408
0.000320,25042.657980,[3.02541667e+02 1.00000000e+00 2.08333333e-02 6.45833333e-01 8.33333333e-02 5.83333333e-01 8.33333333e-02 5.31250000e+00 3.28083333e+02 9.66900000e+03],542.513689,[7.24875000e+02 2.95833333e+00 3.33333333e-01 1.45833333e-01 6.25000000e-02 6.25000000e-02 6.66666667e-01 2.85416667e+01 7.62208333e+02 9.21743750e+03],22197.728192
0.000330,24989.508709,[3.05104167e+02 7.91666667e-01 2.08333333e-02 6.45833333e-01 0.00000000e+00 5.83333333e-01 8.33333333e-02 5.31250000e+00 3.24354167e+02 9.65287500e+03],537.802417,[7.25520833e+02 3.37500000e+00 3.12500000e-01 2.91666667e-01 1.25000000e-01 1.87500000e-01 6.25000000e-01 2.94791667e+01 7.61083333e+02 9.22700000e+03],22224.833013
0.000340,25070.274586,[2.97895833e+02 8.95833333e-01 2.08333333e-02 7.50000000e-01 0.00000000e+00 4.58333333e-01 4.16666667e-02 4.87500000e+00 3.22416667e+02 9.67152083e+03],431.685974,[6.56083333e+02 2.56250000e+00 3.95833333e-01 1.45833333e-01 2.08333333e-01 2.08333333e-02 7.70833333e-01 2.31875000e+01 6.85479167e+02 9.29383333e+03],22650.052658
0.000350,25048.363953,[2.97583333e+02 1.02083333e+00 2.08333333e-02 6.25000000e-01 0.00000000e+00 6.87500000e-01 4.16666667e-02 5.10416667e+00 3.21875000e+02 9.66493750e+03],373.071189,[6.27770833e+02 2.18750000e+00 2.70833333e-01 2.91666667e-01 2.29166667e-01 1.66666667e-01 3.75000000e-01 2.11458333e+01 6.56104167e+02 9.30931250e+03],22786.849064
0.000360,24984.605024,[3.05000000e+02 9.79166667e-01 0.00000000e+00 9.79166667e-01 2.08333333e-02 5.41666667e-01 1.04166667e-01 5.68750000e+00 3.32270833e+02 9.65558333e+03],376.951509,[6.40750000e+02 2.31250000e+00 3.54166667e-01 2.70833333e-01 1.45833333e-01 1.04166667e-01 6.04166667e-01 2.07291667e+01 6.71750000e+02 9.30497917e+03],22732.925725
